名字,tier,entity_type,业界/学界/其他,组织,研究方向,简介,tier_reason,Twitter,活跃情况,备注,source_authority,last_tweet_at,avg_interval_days,arxiv_author_query,openalex_url,scholar_url,github_url,personal_url,arxiv_homepage_url,affiliation_regex,orcid,关联信号,论文链接
Saining Xie,P0,person,学界,NYU,Multimodal,AP at NYU,NYU助理教授，曾任Meta FAIR研究员，ConvNeXt等视觉骨干网络作者，是计算机视觉与多模态领域一线学者。,https://x.com/sainingxie,非常,,employee,,,"au:""Saining Xie""",https://openalex.org/A5102416863,https://scholar.google.com/citations?user=Y2GtJkAAAAAJ&hl=en,,http://www.sainingxie.com,https://arxiv.org/search/?searchtype=author&query=Saining+Xie&start=0,,,"x:2057595509519311077,arxiv:2605.22819,arxiv:2605.22819,x:2059457581882470828,arxiv:2606.03920,x:2062011403733512253,x:2062581689260396886","https://arxiv.org/abs/2605.22819
https://x.com/sainingxie/status/2059457581882470828
https://x.com/sainingxie/status/2057595509519311077
https://arxiv.org/abs/2605.22819
https://x.com/sainingxie/status/2062581689260396886
https://arxiv.org/abs/2606.03920
https://x.com/sainingxie/status/2062011403733512253"
Yann LeCun,P0,person,学界,NYU,Multimodal,Professor at NYU. Chief AI Scientist at Meta.,NYU教授兼Meta首席AI科学家，深度学习三巨头之一，图灵奖得主，自监督学习与世界模型方向的战略引领者。,https://x.com/ylecun,非常,,employee,,,"au:""Yann LeCun""",https://openalex.org/A5001226970,http://scholar.google.com/citations?hl=en&user=WLN3QrAAAAAJ&pagesize=100&view_op=list_works,https://github.com/theobdt,http://yann.lecun.com,https://arxiv.org/search/?searchtype=author&query=Yann+LeCun&start=0,,,"arxiv:2605.21800,x:2057979614115307712,arxiv:2605.21800,x:2058676921110589664,arxiv:2605.21800,x:2062927632597971240,x:2062981412785922517,arxiv:2606.08775","https://x.com/ylecun/status/2058676921110589664
https://arxiv.org/abs/2605.21800
https://arxiv.org/abs/2605.21800
https://x.com/ylecun/status/2057979614115307712
https://arxiv.org/abs/2605.21800
https://x.com/ylecun/status/2062981412785922517
https://x.com/ylecun/status/2062927632597971240
https://arxiv.org/abs/2606.08775"
Xiaolong Wang,P0,person,学界,UCSD,Embodiment,AP at UCSDJacobs,UCSD Jacobs助理教授，具身智能领域领军人物，在机器人视觉运动控制与强化学习方向影响深远。,https://x.com/xiaolonw,非常,,employee,,,"au:""Xiaolong Wang""",,https://scholar.google.com/citations?user=Y8O9N_0AAAAJ&hl=en,https://github.com/xiaolonw,https://xiaolonw.github.io/,https://arxiv.org/search/?searchtype=author&query=Xiaolong+Wang&start=0,,,"arxiv:2605.21976,arxiv:2605.21976,arxiv:2605.21976","https://arxiv.org/abs/2605.21976
https://arxiv.org/abs/2605.21976
https://arxiv.org/abs/2605.21976"
Zhiting Hu,P0,person,学界,UCSD,World model,AP at UCSD,UCSD助理教授，专注世界模型与生成式AI理论，在可控文本生成和模型学习框架方向有系统性贡献。,https://x.com/zhitinghu,非常,,employee,,,"au:""Zhiting Hu""",https://openalex.org/A5085608858,https://scholar.google.com/citations?user=N7_xhHoAAAAJ&hl=en&oi=ao,https://github.com/ZhitingHu,http://zhiting.ucsd.edu,https://arxiv.org/search/?searchtype=author&query=Zhiting+Hu&start=0,,,x:2056455692043895004,https://x.com/ZhitingHu/status/2056455692043895004
Jack Morris,P0,person,学界,Cornell,,visiting researcher at FAIR (AI at Meta),Cornell博士、FAIR访问研究员，在文本对抗攻击与语言模型鲁棒性方向有代表性工作。,https://x.com/jxmnop,非常,,employee,,,"au:""Jack Morris""",,,https://github.com/jxmorris12,http://jxmo.io,https://arxiv.org/search/?searchtype=author&query=Jack+Morris&start=0,,,"x:2048887455328117153,x:2056439454399922662,x:2056848331045998700,arxiv:2605.21308,x:2060129908240912813,x:2060114456802406462,x:2060109869399916770,x:2059843670292181160,x:2062995349573382219,x:2064407011513790606","https://x.com/jxmnop/status/2048887455328117153
https://x.com/jxmnop/status/2056439454399922662
https://x.com/jxmnop/status/2060109869399916770
https://x.com/jxmnop/status/2060114456802406462
https://x.com/jxmnop/status/2059843670292181160
https://x.com/jxmnop/status/2060129908240912813
https://x.com/jxmnop/status/2056848331045998700
https://arxiv.org/abs/2605.21308
https://x.com/jxmnop/status/2062995349573382219
https://x.com/jxmnop/status/2064407011513790606"
Sasha Rush,P0,person,学界,Cornell,Generative AI,"Professor, Programmer in NYC.  ",Cornell教授，Hugging Face核心贡献者，在序列生成、高效Transformer及开源NLP工具链方向极具影响力。,https://x.com/srush_nlp,非常,,employee,,,"au:""Sasha Rush""",,,https://github.com/harvardnlp,http://rush-nlp.com,https://arxiv.org/search/?searchtype=author&query=Sasha+Rush&start=0,,,"x:2056459706944659694,x:2057279985388339416,x:2057543340237664534,x:2057538350995714376,x:2057279985388339416,x:2060062061078401053,x:2062359839783657816,x:2062360946903748735,x:2062361946398093733,x:2062353335529935114,x:2062893086569541870,x:2062894131009978714","https://x.com/srush_nlp/status/2056459706944659694
https://x.com/srush_nlp/status/2060062061078401053
https://x.com/srush_nlp/status/2057279985388339416
https://x.com/srush_nlp/status/2057543340237664534
https://x.com/srush_nlp/status/2057279985388339416
https://x.com/srush_nlp/status/2057538350995714376
https://x.com/srush_nlp/status/2062361946398093733
https://x.com/srush_nlp/status/2062359839783657816
https://x.com/srush_nlp/status/2062360946903748735
https://x.com/dwarkesh_sp/status/2062353335529935114
https://x.com/srush_nlp/status/2062893086569541870
https://x.com/srush_nlp/status/2062894131009978714"
Rafael Rafailov,P0,person,学界,Stanford,Embodiment,Phd at Standord,Stanford博士，DPO（Direct Preference Optimization）论文第一作者，该方法已成为LLM对齐训练主流范式。,https://x.com/rm_rafailov,非常,,employee,,,"au:""Rafael Rafailov""",https://openalex.org/A5028522433,https://scholar.google.com/citations?user=TwABcRgAAAAJ&hl=en,,https://rmrafailov.github.io/,https://arxiv.org/search/?searchtype=author&query=Rafael+Rafailov&start=0,,,,
Rylan Schaeffer,P0,person,学界,Stanford,Trustworthy AI,CS PhD Student at Stanford Trustworthy AI Research,Stanford可信AI方向博士生，在大模型评估基准与安全性系统研究上持续发表高影响力工作。,https://x.com/RylanSchaeffer,非常,,employee,,,"au:""Rylan Schaeffer""",,,,http://rylanschaeffer.github.io,https://arxiv.org/search/?searchtype=author&query=Rylan+Schaeffer&start=0,,,,
Yijia Shao,P0,person,学界,Stanford,Reasoning,CS Ph.D. student at StanfordNLP,StanfordNLP博士生，专注大语言模型推理与问答，在检索增强推理方向有代表性论文。,https://x.com/echoshao8899,非常,,employee,,,"au:""Yijia Shao""",,https://scholar.google.com/citations?user=H0zcQh4AAAAJ,https://github.com/shaoyijia,https://cs.stanford.edu/~shaoyj/,https://arxiv.org/search/?searchtype=author&query=Yijia+Shao&start=0,,,"x:2056450442184610092,x:2056899837522768132,x:2056911913624461498,x:2056916764689326283,x:2056778361129853202,x:2056774871338865109,x:2059295756427919577,x:2059491511830770153","https://x.com/EchoShao8899/status/2056450442184610092
https://x.com/EchoShao8899/status/2059295756427919577
https://x.com/EchoShao8899/status/2059491511830770153
https://x.com/EchoShao8899/status/2056899837522768132
https://x.com/EchoShao8899/status/2056774871338865109
https://x.com/EchoShao8899/status/2056778361129853202
https://x.com/EchoShao8899/status/2056916764689326283
https://x.com/EchoShao8899/status/2056911913624461498"
Manling Li,P0,person,学界,Stanford,"CV, Embodiment, Reasoning, Trustworthy AI",Postdoc at Stanford；Incoming AP at Northwestern,Stanford博士后、Northwestern准AP，横跨视觉、推理与可信AI，在多模态事件理解方向屡获顶会最佳论文。,https://x.com/ManlingLi_,非常,,employee,,,"au:""Manling Li""",,https://scholar.google.com/citations?user=6U4SXnUAAAAJ&amp;hl=en,https://github.com/limanling,https://limanling.github.io/,https://arxiv.org/search/?searchtype=author&query=Manling+Li&start=0,,,"x:2054541875172856119,x:2056913091867120118,arxiv:2605.23204,x:2060469912498471083,arxiv:2606.00198,x:2062175309714116679,x:2062171987275919816","https://x.com/ManlingLi_/status/2054541875172856119
https://arxiv.org/abs/2605.23204
https://x.com/ManlingLi_/status/2056913091867120118
https://x.com/ManlingLi_/status/2060469912498471083
https://arxiv.org/abs/2606.00198
https://x.com/ManlingLi_/status/2062171987275919816
https://x.com/ManlingLi_/status/2062175309714116679"
Hao Zhu,P0,person,学界,Stanford,Agents,Postdoc at StanfordNLP,StanfordNLP博士后，专注语言智能体与交互式决策，在对话代理与环境交互方向有系统性研究。,https://x.com/_hao_zhu,一般,,employee,,,"au:""Hao Zhu""",,,,https://hao.computer,https://arxiv.org/search/?searchtype=author&query=Hao+Zhu&start=0,,,"x:2048766160678920318,x:2061892686916080052,x:2061636993457774951","https://x.com/_Hao_Zhu/status/2048766160678920318
https://x.com/_Hao_Zhu/status/2061892686916080052
https://x.com/_Hao_Zhu/status/2061636993457774951"
Tengyu Ma,P0,person,学界,Stanford,Theory,AP at Standord；Co-founder of Voyage AI,Stanford助理教授、Voyage AI联合创始人，在深度学习优化理论与自监督学习方向有奠基性贡献。,https://x.com/tengyuma,一般,,founder,,,"au:""Tengyu Ma""",https://openalex.org/A5101821970,https://scholar.google.com/citations?user=i38QlUwAAAAJ&hl=en,,http://ai.stanford.edu/~tengyuma,https://arxiv.org/search/?searchtype=author&query=Tengyu+Ma&start=0,,,"x:2059482732364013628,x:2059511615419236837,x:2061881916157313449","https://x.com/tengyuma/status/2059511615419236837
https://x.com/tengyuma/status/2059482732364013628
https://x.com/tengyuma/status/2061881916157313449"
Chelsea Finn,P0,person,学界,Stanford,Embodiment,"AP at Stanford；
Co-founder of Physical Intelligence",Stanford助理教授、Physical Intelligence联合创始人，元学习与机器人泛化领域代表人物，MAML等工作影响深远。,https://x.com/chelseabfinn,一般,,founder,,,"au:""Chelsea Finn""",,https://scholar.google.com/citations?user=vfPE6hgAAAAJ,http://www.github.com/cbfinn/,http://ai.stanford.edu/~cbfinn,https://arxiv.org/search/?searchtype=author&query=Chelsea+Finn&start=0,,,"arxiv:2605.25477,arxiv:2605.25477,arxiv:2606.08107","https://arxiv.org/abs/2605.25477
https://arxiv.org/abs/2605.25477
https://arxiv.org/abs/2606.08107"
Jiajun Wu,P0,person,学界,Stanford,Multimodal,AP at Stanford,Stanford助理教授，专注多模态感知与物理世界理解，在程序化场景生成和视觉推理方向贡献突出。,https://x.com/jiajunwu_cs?lang=en,一般,,employee,,,"au:""Jiajun Wu""",,https://scholar.google.com/citations?user=2efgcS0AAAAJ&hl=en&oi=ao,,https://jiajunwu.com,https://arxiv.org/search/?searchtype=author&query=Jiajun+Wu&start=0,,,"arxiv:2604.06268v1,arxiv:2605.07971v1,arxiv:2605.30288,arxiv:2605.30341,arxiv:2605.30347,arxiv:2605.30288,arxiv:2605.30341,arxiv:2605.31598,x:2061531506871562504","http://arxiv.org/abs/2604.06268v1
http://arxiv.org/abs/2605.07971v1
https://arxiv.org/abs/2605.30288
https://arxiv.org/abs/2605.30347
https://arxiv.org/abs/2605.30341
https://arxiv.org/abs/2605.30288
https://arxiv.org/abs/2605.30341
https://arxiv.org/abs/2605.31598
https://x.com/jiajunwu_cs/status/2061531506871562504"
Percy Liang,P0,person,学界,Stanford,Multimodal,AP at Stanford,Stanford助理教授，HELM基准与Foundation Model中心核心创建者，大模型评估与多模态方向权威。,https://x.com/percyliang,非常,,employee,,,"au:""Percy Liang""",https://openalex.org/A5025255782,https://scholar.google.com/citations?user=yaSqFaEAAAAJ&hl=en,,https://cs.stanford.edu/~pliang/,https://arxiv.org/search/?searchtype=author&query=Percy+Liang&start=0,,,"x:2054550981527146942,x:2054550984597328101,x:2054294479113515385,x:2058621601542009341,x:2058621604683460945,arxiv:2605.27371,x:2062919606403313680","https://x.com/percyliang/status/2054550984597328101
https://x.com/percyliang/status/2054550981527146942
https://x.com/JeffDean/status/2054294479113515385
https://x.com/percyliang/status/2058621604683460945
https://x.com/percyliang/status/2058621601542009341
https://arxiv.org/abs/2605.27371
https://x.com/percyliang/status/2062919606403313680"
Fei-Fei Li,P0,person,学界,Stanford,"Spatial intelligence, World model",Professor at Standord,Stanford教授，ImageNet缔造者、空间智能与世界模型方向引领者，现代深度视觉学习奠基人。,https://x.com/drfeifei,非常,,employee,,,"au:""Fei-Fei Li""",,,,http://svl.stanford.edu,https://arxiv.org/search/?searchtype=author&query=Fei-Fei+Li&start=0,,,"x:2058453857290608872,x:2058462002104693213,x:2058453857290608872,x:2058778580050485560,x:2058778580050485560,x:2059174528786268669,x:2059874169224147126,x:2060404846734512205,x:2062189036182315213,x:2062133632098091117,x:2062247238143996275,x:2062191269506630057,x:2062713922604482734,x:2063294204030353645,x:2064387365930676695","https://x.com/alibaba_cloud/status/2058453857290608872
https://x.com/alibaba_cloud/status/2058778580050485560
https://x.com/alibaba_cloud/status/2058778580050485560
https://x.com/alibaba_cloud/status/2059174528786268669
https://x.com/drfeifei/status/2059874169224147126
https://x.com/alibaba_cloud/status/2058453857290608872
https://x.com/rohanpaul_ai/status/2058462002104693213
https://x.com/drfeifei/status/2060404846734512205
https://x.com/alibaba_cloud/status/2062713922604482734
https://x.com/TheHumanoidHub/status/2063294204030353645
https://x.com/alibaba_cloud/status/2062133632098091117
https://x.com/alibaba_cloud/status/2062189036182315213
https://x.com/drfeifei/status/2062247238143996275
https://x.com/RuohanGao1/status/2062191269506630057
https://x.com/drfeifei/status/2064387365930676695"
Naman Jain,P0,person,学界,Stanford,,斯坦福博士生,Stanford博士生，在代码生成与语言模型推理方向有活跃研究产出。,https://x.com/StringChaos,非常,,employee,,,"au:""Naman Jain""",,https://scholar.google.com/citations?user=6oqV3v8AAAAJ,https://github.com/naman-ntc,http://naman-ntc.github.io,https://arxiv.org/search/?searchtype=author&query=Naman+Jain&start=0,,,"arxiv:2605.12988v1,arxiv:2605.12674v1,x:2056525237689131252","http://arxiv.org/abs/2605.12674v1
http://arxiv.org/abs/2605.12988v1
https://x.com/StringChaos/status/2056525237689131252"
Jie Tang,P0,person,学界,Tsinghua,Multimodal,Professor at Tsinghua University,清华大学教授，GLM/ChatGLM系列模型主导者，国内大语言模型开源生态核心推动人。,https://x.com/jietang,一般,,employee,,,"au:""Jie Tang""",https://openalex.org/A5044791875,,https://github.com/THUDM,http://keg.cs.tsinghua.edu.cn/jietang/,https://arxiv.org/search/?searchtype=author&query=Jie+Tang&start=0,,,"arxiv:2605.10904v1,arxiv:2605.12899v1,x:2057660194021388343,arxiv:2605.25565,arxiv:2605.25565,arxiv:2606.08656,arxiv:2606.08617","http://arxiv.org/abs/2605.12899v1
http://arxiv.org/abs/2605.10904v1
https://arxiv.org/abs/2605.25565
https://arxiv.org/abs/2605.25565
https://x.com/jietang/status/2057660194021388343
https://arxiv.org/abs/2606.08656
https://arxiv.org/abs/2606.08617"
Zhiyuan Liu,P0,person,学界,Tsinghua,NLP,清华AP,清华助理教授，OpenNRE、OpenPrompt等NLP开源框架核心作者，知识图谱与预训练语言模型方向领军人物。,https://x.com/zibuyu9,非常,,employee,,,"au:""Zhiyuan Liu""",,https://scholar.google.com/citations?user=dT0v5u0AAAAJ,,http://nlp.csai.tsinghua.edu.cn/~lzy,https://arxiv.org/search/?searchtype=author&query=Zhiyuan+Liu&start=0,,,"arxiv:2605.27413,arxiv:2606.05002","https://arxiv.org/abs/2605.27413
https://arxiv.org/abs/2606.05002"
Tianle Cai,P0,person,学界,Princeton,Reasoning,普林斯顿“小天才”， Medusa 推理优化论文作者，曾任职谷歌、TogetherAI ，MyShell 模型核心贡献者、创业者、天使投资人。,Princeton博士生，Medusa推理加速论文作者，在LLM推理优化领域有高影响力工作，兼具创业与投资实践经验。,https://x.com/tianle_cai,一般,,employee,,,"au:""Tianle Cai""",,,,https://tianle.website,https://arxiv.org/search/?searchtype=author&query=Tianle+Cai&start=0,,,,
Tri Dao,P0,person,学界,Princeton,MLSys,AP at princeton,普林斯顿助理教授，FlashAttention系列作者，将IO感知算法带入主流，是MLSys方向最具影响力的青年研究者之一。,https://x.com/tri_dao,非常,,employee,,,"au:""Tri Dao""",,https://scholar.google.com/citations?user=NQRw0bQAAAAJ,https://github.com/tridao,https://tridao.me,https://arxiv.org/search/?searchtype=author&query=Tri+Dao&start=0,,,x:2057640492020469845,https://x.com/tri_dao/status/2057640492020469845
Jonathan Gorard,P0,person,学界,Princeton,Theory,Math ∩ Physics ∩ Computation,普林斯顿研究员，深耕数学、物理与计算交叉，以Wolfram Physics Project核心贡献者身份推动计算理论前沿。,https://x.com/getjonwithit,非常,,employee,,,"au:""Jonathan Gorard""",,,,,https://arxiv.org/search/?searchtype=author&query=Jonathan+Gorard&start=0,,,"x:2058706179216359885,x:2058717522149486866,x:2058706179216359885,x:2058717522149486866,x:2062755360734085607","https://x.com/getjonwithit/status/2058706179216359885
https://x.com/getjonwithit/status/2058717522149486866
https://x.com/getjonwithit/status/2058706179216359885
https://x.com/getjonwithit/status/2058717522149486866
https://x.com/getjonwithit/status/2062755360734085607"
Wenhu Chen,P0,person,学界,Waterloo,Multimodal,AP at Waterloo；Senior Research Scientist at Google Deepmind (20% Part-time),滑铁卢大学助理教授兼Google DeepMind兼职科学家，多模态推理与表格/文档理解领域高产学者，主导多个基准构建。,https://x.com/WenhuChen,非常,,employee,,,"au:""Wenhu Chen""",https://openalex.org/A5103103242,https://scholar.google.com/citations?user=U8ShbhUAAAAJ&hl=en,https://github.com/wenhuchen,https://wenhuchen.github.io/,https://arxiv.org/search/?searchtype=author&query=Wenhu+Chen&start=0,,,"arxiv:2604.24300v1,x:2054451940856303802,arxiv:2605.18603v1,x:2060408024020488549,x:2061118036950835653,x:2061915367543545961,x:2063143758460514699,x:2063843697083740613","http://arxiv.org/abs/2604.24300v1
http://arxiv.org/abs/2604.24763v1
https://x.com/WenhuChen/status/2054451940856303802
http://arxiv.org/abs/2605.18603v1
https://x.com/WenhuChen/status/2060408024020488549
https://x.com/WenhuChen/status/2063143758460514699
https://x.com/WenhuChen/status/2061118036950835653
https://x.com/WenhuChen/status/2061915367543545961
https://x.com/WenhuChen/status/2063843697083740613"
Ziwei Liu,P0,person,学界,NTU,Multimodal,AP at NTU,南洋理工助理教授，多模态生成与开放世界感知方向领军者，主导DiffSwap、SIDA等多个有影响力的视觉生成工作。,https://x.com/liuziwei7,非常,,employee,,,"au:""Ziwei Liu""",,https://scholar.google.com/citations?user=lc45xlcAAAAJ,https://github.com/liuziwei7,https://liuziwei7.github.io/,https://arxiv.org/search/?searchtype=author&query=Ziwei+Liu&start=0,,,"arxiv:2605.18661v1,arxiv:2605.21572,arxiv:2605.21572,x:2059323164258373917,x:2059661308308701423,x:2059661311341178884,x:2059323164258373917,arxiv:2605.27367,arxiv:2605.28820,x:2060014555791757347,x:2061868628228899141,x:2062412801403199700,x:2062776136313217209,x:2064027503929479602,arxiv:2606.09507","http://arxiv.org/abs/2605.18661v1
https://x.com/liuziwei7/status/2059323164258373917
https://x.com/liuziwei7/status/2059661308308701423
https://x.com/liuziwei7/status/2059661311341178884
https://x.com/liuziwei7/status/2059323164258373917
https://arxiv.org/abs/2605.27367
https://arxiv.org/abs/2605.28820
https://x.com/liuziwei7/status/2060014555791757347
https://arxiv.org/abs/2605.21572
https://arxiv.org/abs/2605.21572
https://x.com/liuziwei7/status/2062412801403199700
https://x.com/liuziwei7/status/2062776136313217209
https://x.com/liuziwei7/status/2061868628228899141
https://x.com/liuziwei7/status/2064027503929479602
https://arxiv.org/abs/2606.09507"
Yejin Choi,P0,person,学界,UW,"Multimodal, NLP",Professor at UW； with NVIDIA as a senior director；2025 join Stanford as Senior Fellow at HAI and Professor in CS,UW教授、NVIDIA高级总监，2025年加入斯坦福HAI，常识推理与AI伦理方向标志性人物，曾获麦克阿瑟天才奖。,https://x.com/yejinchoinka,非常,,employee,,,"au:""Yejin Choi""",,https://scholar.google.com/citations?user=vhP-tlcAAAAJ&amp;hl=en,,https://yejinc.github.io/,https://arxiv.org/search/?searchtype=author&query=Yejin+Choi&start=0,,,"arxiv:2605.13054v1,arxiv:2606.07812,arxiv:2606.07567","http://arxiv.org/abs/2605.13054v1
https://arxiv.org/abs/2606.07567
https://arxiv.org/abs/2606.07812"
Xin Wang,P0,person,学界,UCSC,"Multimodal, Generative AI","Head of Research at SimularAI；
Professor at UCSC",UCSC教授兼SimularAI研究负责人，多模态与生成式AI方向活跃研究者，推动具身智能与视频生成落地研究。,https://x.com/xwang_lk,非常,,employee,,,"au:""Xin Wang""",,https://scholar.google.com/citations?user=YjqluE0AAAAJ&hl=en,https://github.com/eric-ai-lab,https://eric-xw.github.io,https://arxiv.org/search/?searchtype=author&query=Xin+Wang&start=0,,,"x:2048835248272933249,x:2048838948781478164,arxiv:2604.22881v1,arxiv:2604.06347v1,arxiv:2604.05402v1,arxiv:2605.06639v1,x:2054490955504558449,x:2054472489334657347,x:2056751738078585344,x:2056652960881574014,x:2056631807257501966,x:2056531396488007994,x:2056533863313350693,x:2056614131395092783,x:2056524157370929421,x:2056484651020206465,arxiv:2605.20182,x:2057124843670409535,arxiv:2605.20994,arxiv:2605.20722,x:2057316045795569758,arxiv:2605.20994,x:2057579982759842262,x:2057556328546181379,x:2057572751909806155,x:2057316045795569758,x:2057869226111795323,x:2057870295332196599,arxiv:2605.21993,x:2058961025207255550,arxiv:2605.24117,arxiv:2605.25767,x:2059393135114109351,x:2059372473599291736,arxiv:2605.25603,arxiv:2605.26105,arxiv:2605.25767,x:2059393135114109351,x:2059372473599291736,x:2060064325063385139,x:2059838458789614009,arxiv:2605.30247,x:2060421096915267977,x:2060636492511559936,x:2060636492511559936,arxiv:2606.02388,arxiv:2606.02041,x:2061893523922919469,arxiv:2606.03951,x:2062290550896894008,x:2062314264137023589,x:2062298101822657016,x:2062298734462169483,x:2062195383733006423,x:2062013741194231994,x:2061998891831300524,x:2062656394747392438,arxiv:2606.05920,arxiv:2606.08496,arxiv:2606.07689,x:2064456597821358486,x:2064453983075459250,x:2064447264865780179,x:2064451860963250299,x:2064445363562676551,x:2064415519600677206,x:2064209170178715978,x:2064206238477660631,x:2064185426475385098,x:2064143801460162820","http://arxiv.org/abs/2604.22881v1
http://arxiv.org/abs/2604.05402v1
http://arxiv.org/abs/2604.06347v1
https://x.com/xwang_lk/status/2048835248272933249
https://x.com/xwang_lk/status/2048838948781478164
http://arxiv.org/abs/2605.06639v1
https://x.com/xwang_lk/status/2054490955504558449
https://x.com/xwang_lk/status/2054480177728737287
https://x.com/xwang_lk/status/2054472489334657347
https://x.com/xwang_lk/status/2056751738078585344
https://x.com/xwang_lk/status/2056652960881574014
https://x.com/xwang_lk/status/2056533863313350693
https://x.com/xwang_lk/status/2056484651020206465
https://x.com/xwang_lk/status/2056524157370929421
https://x.com/xwang_lk/status/2056614131395092783
https://x.com/xwang_lk/status/2056531396488007994
https://x.com/xwang_lk/status/2056631807257501966
https://arxiv.org/abs/2605.21993
https://x.com/xwang_lk/status/2058961025207255550
https://arxiv.org/abs/2605.24117
https://arxiv.org/abs/2605.25767
https://x.com/xwang_lk/status/2059393135114109351
https://x.com/xwang_lk/status/2059372473599291736
https://arxiv.org/abs/2605.25603
https://arxiv.org/abs/2605.26105
https://arxiv.org/abs/2605.25767
https://x.com/xwang_lk/status/2059372473599291736
https://x.com/xwang_lk/status/2059393135114109351
https://x.com/xwang_lk/status/2059838458789614009
https://x.com/xwang_lk/status/2060064325063385139
https://arxiv.org/abs/2605.20182
https://x.com/xwang_lk/status/2057124843670409535
https://arxiv.org/abs/2605.20994
https://x.com/xwang_lk/status/2057316045795569758
https://arxiv.org/abs/2605.20722
https://arxiv.org/abs/2605.20994
https://x.com/xwang_lk/status/2057579982759842262
https://x.com/xwang_lk/status/2057556328546181379
https://x.com/xwang_lk/status/2057316045795569758
https://x.com/xwang_lk/status/2057572751909806155
https://x.com/xwang_lk/status/2057870295332196599
https://x.com/xwang_lk/status/2057869226111795323
https://arxiv.org/abs/2605.30247
https://x.com/xwang_lk/status/2060421096915267977
https://x.com/xwang_lk/status/2060636492511559936
https://x.com/xwang_lk/status/2060636492511559936
https://x.com/xwang_lk/status/2062656394747392438
https://arxiv.org/abs/2606.05920
https://arxiv.org/abs/2606.02388
https://arxiv.org/abs/2606.02041
https://x.com/xwang_lk/status/2061893523922919469
https://arxiv.org/abs/2606.03951
https://x.com/xwang_lk/status/2062013741194231994
https://x.com/xwang_lk/status/2062298734462169483
https://x.com/xwang_lk/status/2061998891831300524
https://x.com/xwang_lk/status/2062195383733006423
https://x.com/xwang_lk/status/2062314264137023589
https://x.com/xwang_lk/status/2062290550896894008
https://x.com/xwang_lk/status/2062298101822657016
https://arxiv.org/abs/2606.07689
https://arxiv.org/abs/2606.08496
https://x.com/xwang_lk/status/2064456597821358486
https://x.com/xwang_lk/status/2064445363562676551
https://x.com/xwang_lk/status/2064206238477660631
https://x.com/xwang_lk/status/2064209170178715978
https://x.com/xwang_lk/status/2064451860963250299
https://x.com/xwang_lk/status/2064447264865780179
https://x.com/xwang_lk/status/2064185426475385098
https://x.com/xwang_lk/status/2064453983075459250
https://x.com/xwang_lk/status/2064143801460162820
https://x.com/xwang_lk/status/2064415519600677206"
Xuezhe Ma,P0,person,学界,USC,"Efficient LLM, Long-context","Research Lead in Information Sciences Institute and a Research Assistant Professor in Department of Computer Science, at University of Southern California since Fall 2020.",USC信息科学研究所研究负责人，专攻高效LLM架构与长上下文建模，Mega等线性注意力模型作者。,https://x.com/maxma1987,非常,,employee,,,"au:""Xuezhe Ma""",,https://scholar.google.com/citations?user=6_MQLIcAAAAJ,https://github.com/XuezheMax,https://xuezhemax.github.io/,https://arxiv.org/search/?searchtype=author&query=Xuezhe+Ma&start=0,,,"arxiv:2605.15106v1,arxiv:2605.27388","http://arxiv.org/abs/2605.15106v1
https://arxiv.org/abs/2605.27388"
Linus,P0,person,其他,Anthropic,可解释性,AI可解释性研究员,Anthropic可解释性研究员，深度参与机制解释与特征归因工作，是业界最活跃的AI可解释性一线声音之一。,https://x.com/thesephist,非常,,employee,,,"au:""Linus""",,,https://github.com/thesephist,https://thesephist.com/,https://arxiv.org/search/?searchtype=author&query=Linus&start=0,,,"x:2056578139585675624,x:2058748539191099477,x:2058748539191099477,x:2059841040064872579,x:2059841298505376193,x:2059842307621347745,x:2060190963784417779,x:2064377146307649921","https://x.com/thesephist/status/2056578139585675624
https://x.com/thesephist/status/2058748539191099477
https://x.com/thesephist/status/2058748539191099477
https://x.com/thesephist/status/2059842307621347745
https://x.com/thesephist/status/2059841298505376193
https://x.com/thesephist/status/2059841040064872579
https://x.com/thesephist/status/2060190963784417779
https://x.com/thesephist/status/2064377146307649921"
Harrison Chase,P0,person,,,,,LangChain 创始人，Agent 框架生态领军,https://x.com/hwchase17,,[2026-06扩充] 来源:graph · 赛道:Agent·Code,,,,"au:""Harrison Chase""",,,,,,,,"x:2061432656680608158,x:2061271231999996361,x:2061537867134832941,x:2061525417106755812,x:2061502698906624512,x:2061496556608504043,x:2061496072845836590,x:2061867746141356427,x:2061850709549629783,x:2062226357522743484,x:2062208385890570565,x:2062144718427857256,x:2062917963934560397,x:2064069510366413077,x:2064049597371351487,x:2064365145615380538","https://x.com/hwchase17/status/2062917963934560397
https://x.com/hwchase17/status/2061271231999996361
https://x.com/hwchase17/status/2061432656680608158
https://x.com/hwchase17/status/2061525417106755812
https://x.com/hwchase17/status/2061496072845836590
https://x.com/hwchase17/status/2061502698906624512
https://x.com/hwchase17/status/2061537867134832941
https://x.com/hwchase17/status/2061496556608504043
https://x.com/hwchase17/status/2061850709549629783
https://x.com/hwchase17/status/2061867746141356427
https://x.com/hwchase17/status/2062208385890570565
https://x.com/hwchase17/status/2062226357522743484
https://x.com/hwchase17/status/2062144718427857256
https://x.com/hwchase17/status/2064049597371351487
https://x.com/hwchase17/status/2064069510366413077
https://x.com/hwchase17/status/2064365145615380538"
